pair,schedule,accepted,reject_reason,quality_flag,pair_zncc_in,pair_zncc_out,pair_zncc_delta,improved_count,worse_count,net_improved,delta_median,delta_p05,repaired_clusters,baseline_weak_clusters,wall_s,error
1104-1102,dense256,True,,False,0.12984042216718486,0.12216312795115337,-0.0076772942160314855,879,1575,-696,-0.00684895024098571,-0.06550290432738999,127,245,37.427457311998296,
1104-1102,fine128,False,quality_flag,True,0.12984042216718486,0.11263074327224941,-0.01720967889493545,696,1758,-1062,-0.012917573257252124,-0.10095045377084104,115,245,37.0433523860047,
1139-1136,dense256,True,,False,0.12988302402330965,0.13101041239127223,0.001127388367962584,1246,1156,90,0.0003563262941085124,-0.01734031005717614,134,226,29.397609173996898,
1139-1136,fine128,True,,False,0.12988302402330965,0.1287324302977195,-0.0011505937255901488,989,1407,-418,-0.0025981018450113996,-0.03403779017214046,106,226,48.61677331900137,
953-952,dense256,True,,False,0.13887003590079408,0.15424541245180928,0.015375376551015202,1941,548,1393,0.02060952922118031,-0.019388855944733947,106,118,54.729709428000206,
953-952,fine128,True,,False,0.13887003590079408,0.15824250770034845,0.01937247179955437,2193,292,1901,0.03203001734452543,-0.007396573021740604,112,118,293.4652646820032,
1428-1427,dense256,True,,False,0.14138103305332547,0.16941490698249367,0.0280338739291682,920,677,243,0.00946336542319625,-0.1034114730729091,145,182,30.72563770999841,
1428-1427,fine128,True,,False,0.14138103305332547,0.18685046908298097,0.0454694360296555,979,618,361,0.013097319343757807,-0.09036858099920891,147,182,95.15137684100046,
731-730,dense256,True,,False,0.14158569267816307,0.1476055558447253,0.006019863166562223,1472,1032,440,0.009796601049881951,-0.12291639848065636,73,105,36.89575884300575,
731-730,fine128,True,,False,0.14158569267816307,0.1546817157805149,0.013096023102351834,1819,687,1132,0.02914825670110323,-0.11751182045881883,83,105,288.39463239300676,
864-862,dense256,True,,False,0.14472536333156244,0.13180436172060267,-0.01292100161095977,856,1670,-814,-0.012127411546472448,-0.11414078592534736,124,236,33.64029292500345,
864-862,fine128,False,quality_flag,True,0.14472536333156244,0.1160120096252248,-0.028713353706337638,650,1872,-1222,-0.022185935299150125,-0.15382409884386178,89,236,42.08993416800513,
1069-1068,dense256,True,,False,0.14733468871451877,0.15596741396903518,0.008632725254516416,1618,822,796,0.007832654316731968,-0.02981582723894438,117,150,28.766519577002327,
1069-1068,fine128,True,,False,0.14733468871451877,0.16467475995063288,0.017340071236114113,2114,322,1792,0.022747074321800176,-0.007897263159934253,141,150,554.3148738180025,
1124-1122,dense256,True,,False,0.14758256539994924,0.1464010620547327,-0.0011815033452165502,1277,1140,137,0.0006170771105824813,-0.025341480873510028,151,246,33.51061213500361,
